,Up Votes,Down Votes,Month,Ratings,Review,Year,Sentiment
3842,0.0,0.0,Aug,4,Nice product OkREAD MORE,2020,Positive
3843,0.0,0.0,Aug,5,Great product Genuine product😀READ MORE,2020,Positive
3844,0.0,0.0,Aug,4,Best  GoodREAD MORE,2020,Positive
3845,0.0,0.0,Aug,4,Awesome Suitable for play and reasonable price.READ MORE,2020,Positive
3846,0.0,0.0,Aug,2,Must buy! Have been purchasing the shuttles from Flipkart for a very long time now. But the quality of the shuttles has been lacking recently. May not buy anymore due to lack of Quality.READ MORE,2020,Negative
3847,0.0,0.0,Aug,4,Don't waste your money Very fast delivery thank you flipkartREAD MORE,2020,Positive
3848,0.0,0.0,Aug,5,STURDY Good productREAD MORE,2020,Positive
3849,0.0,0.0,Aug,5,Fabulous! GoodREAD MORE,2020,Positive
3850,0.0,0.0,Aug,5,Worst experience ever! nice oneREAD MORE,2020,Positive
3851,0.0,0.0,Aug,5,Best in the market! FineREAD MORE,2020,Positive
3852,0.0,0.0,Aug,4,Delightful GoodREAD MORE,2020,Positive
3853,0.0,0.0,Aug,5,Really Nice WorthREAD MORE,2020,Positive
3854,0.0,0.0,Aug,5,"Unsatisfactory Important month and delivery month, 😀same.... Totally new®️®️®️®️®️®️🙏READ MORE",2020,Positive
3855,0.0,0.0,Aug,5,Just wow! The product is too good I like it very much Flipkart is the brand app I think so but the think always good and perfect 😘😘👌👌👌keep it up👍👍👍READ MORE,2020,Positive
3856,0.0,0.0,Aug,5,Super! Good qualityREAD MORE,2020,Positive
3857,0.0,0.0,Aug,1,"Good It doesn't felt to be a good one, the cork speed was different for each cork.READ MORE",2020,Negative
3858,0.0,0.0,Aug,5,Worth every penny Check them if they are original or fakeMine are originalREAD MORE,2020,Positive
3859,0.0,0.0,Aug,5,Wonderful SuperREAD MORE,2020,Positive
3860,0.0,0.0,Aug,1,"Awesome This white one is very bad, worthless, Better to go for YellowREAD MORE",2020,Negative
3861,0.0,0.0,Aug,5,Really Nice Good product at good price. Quality is also very good. It's perfect for playing..READ MORE,2020,Positive
3862,0.0,0.0,Aug,4,Just okay It's very goodREAD MORE,2020,Positive
3863,0.0,0.0,Aug,4,Terrific Nice productREAD MORE,2020,Positive
3864,0.0,0.0,Aug,1,Nice Outdoor coats that shettel is very badREAD MORE,2020,Negative
3865,0.0,0.0,Aug,5,Simply awesome Very good qualiyt.READ MORE,2020,Positive
3866,0.0,0.0,Aug,5,Awesome GoodREAD MORE,2020,Positive
3867,0.0,0.0,Aug,3,Highly recommended goodREAD MORE,2020,Neutral
3868,0.0,0.0,Aug,5,Must buy! Good product...READ MORE,2020,Positive
3869,0.0,0.0,Aug,4,"Very Good This shuttle is vey durables even if u play rigorously,it lasts 4 to 5 days.So light n good to play.READ MORE",2020,Positive
3870,0.0,0.0,Aug,5,Excellent Genuine and good. Goes a long way.READ MORE,2020,Positive
3871,0.0,0.0,Aug,4,Pretty good Playing is good but very short life.... may be old stock . I use 350 from very long time it lasts for 5 to 7 days easily but this time each shuttle stands for hardly 3 days . All shuttles goes in same way cork breaksREAD MORE,2020,Positive
3872,0.0,0.0,Aug,3,Really Nice niceREAD MORE,2020,Neutral
3873,0.0,0.0,Aug,5,Value-for-money Quality product....READ MORE,2020,Positive
3874,0.0,0.0,Aug,3,Super! Just okREAD MORE,2020,Neutral
3875,0.0,0.0,Aug,5,Excellent Good package and good productREAD MORE,2020,Positive
3876,0.0,0.0,Aug,5,Terrific Thanks for yonex and these are best for both indoor and outdoor any one can go through this product blindlyREAD MORE,2020,Positive
3877,0.0,0.0,Aug,5,Value-for-money NiceREAD MORE,2020,Positive
3878,0.0,0.0,Aug,5,Simply awesome goodREAD MORE,2020,Positive
3879,0.0,0.0,Aug,4,Just wow! good one but delivery was tooo late.READ MORE,2020,Positive
3880,0.0,0.0,Aug,5,Perfect product! NYC productREAD MORE,2020,Positive
3881,0.0,0.0,Aug,4,Fair good oneREAD MORE,2020,Positive
3882,0.0,0.0,Aug,4,Must buy! NiceREAD MORE,2020,Positive
3883,0.0,0.0,Aug,4,Super! SuperrrrbREAD MORE,2020,Positive
3884,0.0,0.0,Aug,5,Perfect product! GoodREAD MORE,2020,Positive
3885,0.0,0.0,Aug,5,Wonderful ExcellentREAD MORE,2020,Positive
3886,0.0,0.0,Aug,5,Value-for-money Good productREAD MORE,2020,Positive
3887,0.0,0.0,Aug,4,Wonderful Good QualityREAD MORE,2020,Positive
3888,0.0,0.0,Aug,5,Value-for-money GoodREAD MORE,2020,Positive
3889,0.0,0.0,Aug,5,Fabulous! Nice product .READ MORE,2020,Positive
3890,0.0,0.0,Aug,5,Must buy! Gud 1READ MORE,2020,Positive
3891,0.0,0.0,Aug,3,Highly recommended GoodREAD MORE,2020,Neutral
3892,0.0,0.0,Aug,5,Wonderful RecommendedREAD MORE,2020,Positive
3893,0.0,0.0,Aug,5,Worth the money value for moneyREAD MORE,2020,Positive
3894,0.0,0.0,Aug,5,Just wow! Nice and good shuttlecock Very fast delivery I love it Thank u flipkart deliveryREAD MORE,2020,Positive
3895,0.0,0.0,Aug,5,Decent product SuperREAD MORE,2020,Positive
3896,0.0,0.0,Aug,4,Just okay Good value for money and speed delivery.READ MORE,2020,Positive
3897,0.0,0.0,Aug,5,Excellent Best qualityREAD MORE,2020,Positive
3898,0.0,0.0,Aug,4,Fabulous! FlexibleREAD MORE,2020,Positive
3899,0.0,4.0,Aug,5,Worthless Superb 👌READ MORE,2020,Positive
3900,0.0,0.0,Aug,5,Mind-blowing purchase Good oneREAD MORE,2020,Positive
3901,0.0,0.0,Aug,5,Super! Nice qualityREAD MORE,2020,Positive
3902,0.0,0.0,Aug,5,Highly recommended Simply Perfect 👌READ MORE,2020,Positive
3903,0.0,0.0,Aug,4,Classy product Nice and durable Specifically... very effective for beginnersREAD MORE,2020,Positive
3904,0.0,0.0,Aug,5,Great product FantasticREAD MORE,2020,Positive
3905,0.0,0.0,Aug,3,Did not meet expectations It get damaged at fast.READ MORE,2020,Neutral
3906,0.0,0.0,Aug,3,Great product The rubber is not qualifyREAD MORE,2020,Neutral
3907,0.0,0.0,Aug,5,Wonderful SuperREAD MORE,2020,Positive
3908,0.0,0.0,Aug,5,Awesome Good quality & faster deliveryREAD MORE,2020,Positive
3909,0.0,0.0,Aug,1,Fabulous! Waste.....waste....waste...loss of money..!Don't buy guysREAD MORE,2020,Negative
3910,0.0,0.0,Aug,5,Brilliant As always. It's the best buy. And Flipkart is the right place for thisREAD MORE,2020,Positive
3911,0.0,0.0,Aug,5,Unsatisfactory Excellent product!!READ MORE,2020,Positive
3912,0.0,0.0,Aug,5,Best in the market! Gud 1READ MORE,2020,Positive
3913,0.0,0.0,Aug,5,Worth every penny Shuttle is very good in quality.And the rubber part is also very smooth for paly.READ MORE,2020,Positive
3914,0.0,0.0,Aug,5,Wonderful Awesome must buyREAD MORE,2020,Positive
3915,0.0,0.0,Aug,1,Great product very worstREAD MORE,2020,Negative
3916,0.0,0.0,Aug,5,Awesome Great for that priceREAD MORE,2020,Positive
3917,0.0,0.0,Aug,4,Highly recommended Loved it...READ MORE,2020,Positive
3918,0.0,0.0,Aug,5,Must buy! Package was good and they sent latest mfg part.READ MORE,2020,Positive
3919,0.0,0.0,Aug,5,Perfect product! SupperREAD MORE,2020,Positive
3920,0.0,0.0,Aug,5,Terrific purchase GoodREAD MORE,2020,Positive
3921,0.0,0.0,Aug,1,Good choice Packing is very worstREAD MORE,2020,Negative
3922,0.0,0.0,Aug,5,Excellent Nice shuttleREAD MORE,2020,Positive
3923,0.0,0.0,Aug,5,Just wow! Super dealREAD MORE,2020,Positive
3924,0.0,0.0,Aug,5,Excellent GoodREAD MORE,2020,Positive
3925,0.0,0.0,Aug,5,Simply awesome Excellent productREAD MORE,2020,Positive
3926,0.0,0.0,Aug,5,Best in the market! Highly durable! Will buy moreREAD MORE,2020,Positive
3927,0.0,0.0,Aug,5,Wonderful I feel better now when I am playingREAD MORE,2020,Positive
3928,0.0,0.0,Aug,5,Perfect product! Good product...original and good price than marketREAD MORE,2020,Positive
3929,0.0,0.0,Aug,5,Worst experience ever! Order to Delivery completed in 35 hours. Great Flipkart...READ MORE,2020,Positive
3930,0.0,0.0,Aug,5,Super! Best qualityREAD MORE,2020,Positive
3931,0.0,0.0,Aug,4,Terrific Still goodREAD MORE,2020,Positive
3932,0.0,0.0,Aug,5,"Excellent Nice. Very fast delivery by flipkart. Delivered next day in small city banswara,Rajasthan. Superb. 5 star for delivery.READ MORE",2020,Positive
3933,0.0,0.0,Aug,5,Fabulous! Good quality.READ MORE,2020,Positive
3934,0.0,0.0,Aug,5,"Classy product Best product flipkart,4 players continues play per day 4 hour 8 day one cork.READ MORE",2020,Positive
3935,0.0,0.0,Aug,5,Does the job Good oneREAD MORE,2020,Positive
3936,0.0,0.0,Aug,5,Awesome GoodREAD MORE,2020,Positive
3937,0.0,0.0,Aug,4,Brilliant osm product....READ MORE,2020,Positive
3938,0.0,0.0,Aug,5,Classy product Good jobREAD MORE,2020,Positive
3939,0.0,0.0,Aug,1,Great product Good oneREAD MORE,2020,Negative
3940,0.0,0.0,Aug,5,Classy product Value for moneyREAD MORE,2020,Positive
3941,0.0,0.0,Aug,5,Terrific Good productREAD MORE,2020,Positive
3942,0.0,0.0,Aug,5,Hated it! Good productREAD MORE,2020,Positive
3943,0.0,0.0,Aug,5,Terrific It's good in slow.... I'll pref fast one.. Overall its goodREAD MORE,2020,Positive
3944,0.0,0.0,Aug,5,"Must buy! Best one...., ⭐⭐⭐⭐⭐READ MORE",2020,Positive
3945,0.0,0.0,Aug,3,Worth the money good productREAD MORE,2020,Neutral
3946,0.0,0.0,Aug,5,Must buy! Quality productWonderful deliveryDelivered on timeGood packagingREAD MORE,2020,Positive
3947,0.0,0.0,Aug,5,Best in the market! GdREAD MORE,2020,Positive
3948,0.0,0.0,Aug,5,Nice NiceREAD MORE,2020,Positive
3949,0.0,0.0,Aug,5,Mind-blowing purchase GoodREAD MORE,2020,Positive
3950,0.0,0.0,Aug,5,"Best in the market! This Product is perfect for regular badminton players, in Indoor atmosphere.READ MORE",2020,Positive
3951,0.0,0.0,Aug,5,Brilliant Simply awesomeREAD MORE,2020,Positive
3952,0.0,0.0,Aug,1,Nice product The product i received was not good.READ MORE,2020,Negative
3953,0.0,0.0,Aug,5,Fair Mainde  blowingREAD MORE,2020,Positive
3954,0.0,0.0,Aug,5,Good Gud productREAD MORE,2020,Positive
3955,0.0,0.0,Aug,4,Perfect product! NiceREAD MORE,2020,Positive
3956,0.0,0.0,Aug,5,Must buy! Excellent productREAD MORE,2020,Positive
3957,0.0,0.0,Aug,5,Terrific purchase Genuine product by yonex. Durable shuttles.READ MORE,2020,Positive
3958,0.0,0.0,Aug,3,Fabulous! Bottom part use to come out white smashREAD MORE,2020,Neutral
3959,0.0,0.0,Aug,5,Wonderful Nice specifyREAD MORE,2020,Positive
3960,0.0,0.0,Aug,5,Very Good It's highly durable and of great quality...I just loved it 🥰READ MORE,2020,Positive
3961,0.0,0.0,Aug,5,Awesome BestREAD MORE,2020,Positive
3962,0.0,0.0,Aug,4,Just okay Poor qualityREAD MORE,2020,Positive
3963,0.0,0.0,Aug,3,Good quality product Using it for few weeks... So far performance is okay...have good shot strength... easily recommendable.... durability have to be checked..READ MORE,2020,Neutral
3964,0.0,0.0,Aug,3,Must buy! It is strictly made to meet the Indoor Conditions. Don't buy this if U are playing in Outdoor Conditions.READ MORE,2020,Neutral
3965,0.0,0.0,Aug,5,Fabulous! GoodREAD MORE,2020,Positive
3966,0.0,0.0,Aug,5,Worth every penny NiceREAD MORE,2020,Positive
3967,0.0,0.0,Aug,5,Excellent Delivery service simply superbREAD MORE,2020,Positive
3968,0.0,0.0,Aug,5,Good quality product Delivery boy is very helpful.READ MORE,2020,Positive
3969,0.0,0.0,Aug,5,Worth the money It's not a bad product. but quality is not good  that's it..READ MORE,2020,Positive
3970,0.0,0.0,Aug,4,Must buy! Nice oneREAD MORE,2020,Positive
3971,0.0,0.0,Aug,5,Really Nice It's looking cute and also it's playing greatREAD MORE,2020,Positive
3972,0.0,0.0,Aug,3,Simply awesome good product .READ MORE,2020,Neutral
3973,0.0,0.0,Jul,4,Mind-blowing purchase Good👌🏻READ MORE,2020,Positive
3974,0.0,0.0,Jul,5,"Good quality product Good, no one is damaged all  shuttles are goodREAD MORE",2020,Positive
3975,0.0,0.0,Jul,5,Not good Really Good... Recommended... I will bought it againREAD MORE,2020,Positive
3976,0.0,0.0,Jul,5,Super! Good jobREAD MORE,2020,Positive
3977,0.0,0.0,Jul,5,"Nice product Super. Must buy. Thanks to flipcart for good service and their super fast service is ""never before"".READ MORE",2020,Positive
3978,0.0,0.0,Jul,4,Must buy! evergreenREAD MORE,2020,Positive
3979,0.0,0.0,Jul,4,Terrific ExcellentREAD MORE,2020,Positive
3980,0.0,0.0,Jul,5,Good Box same but shuttlecocks changeREAD MORE,2020,Positive
3981,0.0,0.0,Jul,4,Brilliant Mavis is massive shuttleREAD MORE,2020,Positive
3982,0.0,0.0,Jul,5,Worth the money Nice productREAD MORE,2020,Positive
3983,0.0,0.0,Jul,5,Awesome Excellent slow moving durable productREAD MORE,2020,Positive
3984,0.0,0.0,Jul,4,Excellent Very niceREAD MORE,2020,Positive
3985,0.0,0.0,Jul,2,Perfect product! Quality vevy very very very bad....whyREAD MORE,2020,Negative
3986,0.0,0.0,Jul,5,Classy product Good product must buy.......READ MORE,2020,Positive
3987,0.0,0.0,Jul,4,Mind-blowing purchase very good productREAD MORE,2020,Positive
3988,0.0,0.0,Jul,5,Mind-blowing purchase Very goodREAD MORE,2020,Positive
3989,0.0,0.0,Jul,5,Highly recommended Very good quality and very durable product.READ MORE,2020,Positive
3990,0.0,0.0,Jul,3,"Pretty good Should be economic, higher cost causes less people will attract to bedmintonREAD MORE",2020,Neutral
3991,0.0,0.0,Jul,5,Value-for-money Awesome product 👌👌👌👌READ MORE,2020,Positive
3992,0.0,0.0,Jul,4,Great product best qualityREAD MORE,2020,Positive
3993,0.0,0.0,Jul,5,Very Good good productREAD MORE,2020,Positive
3994,0.0,0.0,Jul,5,Worth every penny Good product 👍 so thank you flipkart and sellerREAD MORE,2020,Positive
3995,0.0,0.0,Jul,5,Must buy! SuperREAD MORE,2020,Positive
3996,0.0,0.0,Jul,5,Highly recommended WellREAD MORE,2020,Positive
3997,0.0,0.0,Jul,5,Nice product Slow shuttle nice productREAD MORE,2020,Positive
3998,0.0,0.0,Jul,5,Terrific purchase Powerful shuttleREAD MORE,2020,Positive
3999,0.0,0.0,Jul,5,Brilliant GoodREAD MORE,2020,Positive
4000,0.0,0.0,Jul,4,Terrific Timely delivery. Satisfactory under paying conditions.READ MORE,2020,Positive
4001,0.0,0.0,Jul,4,Awesome Received in sealed pack.Thanks flippcart and its seller.READ MORE,2020,Positive
4002,0.0,0.0,Jul,5,Decent product Got this product in 2 days heavenly awesomeREAD MORE,2020,Positive
4003,0.0,0.0,Jul,4,Fair Nice productREAD MORE,2020,Positive
4004,0.0,0.0,Jul,5,Does the job SatisfiedREAD MORE,2020,Positive
4005,0.0,0.0,Jul,5,Perfect product! Rightly priced... Good Quality..worth the buy..Daily usage and durable too..READ MORE,2020,Positive
4006,0.0,0.0,Jul,5,Terrific Superb. Very durableREAD MORE,2020,Positive
4007,0.0,0.0,Jul,4,Nice Nice productREAD MORE,2020,Positive
4008,0.0,0.0,Jul,5,Highly recommended Absolutely fantastic!READ MORE,2020,Positive
4009,0.0,0.0,Jul,5,Does the job Very fantastic product but their plastic is so light weightREAD MORE,2020,Positive
4010,0.0,0.0,Jul,5,Pretty good GoodREAD MORE,2020,Positive
4011,0.0,0.0,Jul,5,Classy product GoodREAD MORE,2020,Positive
4012,0.0,0.0,Jul,3,Good choice too much exepensiveREAD MORE,2020,Neutral
4013,0.0,0.0,Jul,3,"Just wow! Good one, best choice, super qualityREAD MORE",2020,Neutral
4014,0.0,0.0,Jul,3,Very Good Nice product tq flipkartREAD MORE,2020,Neutral
4015,0.0,0.0,Jul,5,Super! Best shuttlesREAD MORE,2020,Positive
4016,0.0,0.0,Jul,5,Worth the money Wonder fullREAD MORE,2020,Positive
4017,0.0,0.0,Jul,3,Good quality product Not so good as expected....READ MORE,2020,Neutral
4018,0.0,0.0,Jul,5,Just wow! Gud oneREAD MORE,2020,Positive
4019,0.0,0.0,Jul,3,Terrible product ones more time | booked this item From rallinet they cheat me send a dummy Product in the box of YonexREAD MORE,2020,Neutral
4020,0.0,0.0,Jul,4,Classy product Good purchase..READ MORE,2020,Positive
4021,0.0,0.0,Jul,5,Highly recommended Good qualityREAD MORE,2020,Positive
4022,0.0,0.0,Jul,4,Excellent NiceREAD MORE,2020,Positive
4023,0.0,0.0,Jul,5,Perfect product! Excellent product.I love the delivery of flipkartREAD MORE,2020,Positive
4024,0.0,0.0,Jul,4,Best in the market! Its very poorREAD MORE,2020,Positive
4025,0.0,0.0,Jul,5,Useless product SuperREAD MORE,2020,Positive
4026,0.0,0.0,Jul,4,"Delightful Ok ok, yellow colour is best compared to thisREAD MORE",2020,Positive
4027,0.0,0.0,Jul,4,Value-for-money Good  productREAD MORE,2020,Positive
4028,0.0,0.0,Jul,5,Terrible product Very NiceREAD MORE,2020,Positive
4029,0.0,0.0,Jul,1,Simply awesome Good product worth buying...READ MORE,2020,Negative
4030,0.0,0.0,Jul,5,Decent product a GOOD productREAD MORE,2020,Positive
4031,0.0,0.0,Jul,5,Brilliant Very good product and good priceREAD MORE,2020,Positive
4032,0.0,0.0,Jul,5,Terrific Best buy and its the original productREAD MORE,2020,Positive
4033,0.0,0.0,Jul,5,Awesome Good than expectedREAD MORE,2020,Positive
4034,0.0,0.0,Jul,5,Just wow! Super long lifeREAD MORE,2020,Positive
4035,0.0,0.0,Jul,1,Brilliant Not good & lasting.....READ MORE,2020,Negative
4036,0.0,0.0,Jul,4,Awesome GoodREAD MORE,2020,Positive
4037,0.0,0.0,Jul,4,Wonderful Awesome experience.READ MORE,2020,Positive
4038,0.0,0.0,Jul,1,Best in the market! Very badREAD MORE,2020,Negative
4039,0.0,0.0,Jul,5,Classy product Good qualityREAD MORE,2020,Positive
4040,0.0,0.0,Jul,3,Super! GoodREAD MORE,2020,Neutral
4041,0.0,0.0,Jul,5,Excellent Mind blowing super fantasticREAD MORE,2020,Positive
4042,0.0,0.0,Jul,5,Value-for-money GoodREAD MORE,2020,Positive
4043,0.0,0.0,Jul,5,Did not meet expectations Good productGood coveringREAD MORE,2020,Positive
4044,0.0,0.0,Jul,5,Very Good Good Product.READ MORE,2020,Positive
4045,0.0,0.0,Jul,5,Slightly disappointed Best qualityREAD MORE,2020,Positive
4046,0.0,0.0,Jul,5,Good quality product Best qualityREAD MORE,2020,Positive
4047,0.0,0.0,Jul,5,"Highly recommended Thanks to Flipkart, fast delivery. One day before. Thanks to  Ekart corrier alsoREAD MORE",2020,Positive
4048,0.0,0.0,Jul,5,Terrific GoodREAD MORE,2020,Positive
4049,0.0,0.0,Jul,5,Brilliant Nice quality....awesome yonex is yonex ....baap is baap 😍😍😍READ MORE,2020,Positive
4050,0.0,0.0,Jul,5,Perfect product! GoodREAD MORE,2020,Positive
4051,0.0,0.0,Jul,5,Best in the market! ExcellentREAD MORE,2020,Positive
4052,0.0,0.0,Jul,4,Super! Good productREAD MORE,2020,Positive
4053,0.0,0.0,Jul,1,Classy product Very slowREAD MORE,2020,Negative
4054,0.0,0.0,Jul,4,Brilliant Good product. Packing was little damaged but internal product found safe.READ MORE,2020,Positive
4055,0.0,0.0,Jul,2,Good choice Not badREAD MORE,2020,Negative
4056,0.0,0.0,Jul,4,Good quality product Gud but need a liitle bit imporovementREAD MORE,2020,Positive
4057,0.0,0.0,Jul,5,Decent product Nice product.READ MORE,2020,Positive
4058,0.0,0.0,Jul,5,Awesome GoodREAD MORE,2020,Positive
4059,0.0,0.0,Jul,5,Perfect product! Good quality stuffREAD MORE,2020,Positive
4060,0.0,0.0,Jul,5,Moderate Very good shuttle for intermediate users 🍁READ MORE,2020,Positive
4061,0.0,0.0,Jul,5,Worth the money GudREAD MORE,2020,Positive
4062,0.0,0.0,Jul,5,Simply awesome Nice.and yonex 350 is better than 2000.first I confused very much.at last by some other frnds I ordered this product and was very nice no doubtREAD MORE,2020,Positive
4063,0.0,0.0,Jul,5,Nice Brand no more wordsREAD MORE,2020,Positive
4064,0.0,0.0,Jul,5,Pretty good Must buyREAD MORE,2020,Positive
4065,0.0,0.0,Jul,4,Terrific purchase Good but bit expensiveREAD MORE,2020,Positive
4066,0.0,0.0,Jul,4,Best in the market! Value for moneyREAD MORE,2020,Positive
4067,0.0,0.0,Jul,3,"Very Good Excellent ,After buying this product ,again I ordered another packREAD MORE",2020,Neutral
4068,0.0,0.0,Jul,5,Horrible Very good quality.READ MORE,2020,Positive
4069,0.0,0.0,Jul,5,Must buy! Genuine productREAD MORE,2020,Positive
4070,0.0,0.0,Jul,2,Terrific purchase Second time deliverd orginal product thanks flipkartREAD MORE,2020,Negative
4071,0.0,0.0,Jul,4,Must buy! good qualityREAD MORE,2020,Positive
4072,0.0,0.0,Jul,5,Good quality product Very goodREAD MORE,2020,Positive
4073,0.0,0.0,Jul,3,Must buy! One day late delivery but okREAD MORE,2020,Neutral
4074,0.0,0.0,Jul,4,Fabulous! Very NiceREAD MORE,2020,Positive
4075,0.0,0.0,Jul,5,Value-for-money Got original product checked in sunrise.com..go for itREAD MORE,2020,Positive
4076,0.0,0.0,Jul,5,Wonderful Good quality productREAD MORE,2020,Positive
4077,0.0,0.0,Jul,4,Highly recommended GoodREAD MORE,2020,Positive
4078,0.0,0.0,Jul,1,Mind-blowing purchase Don't buy this item product missing.READ MORE,2020,Negative
4079,0.0,0.0,Jul,5,Classy product Right product send by sellerREAD MORE,2020,Positive
4080,0.0,0.0,Jul,5,Very Good ExcellentREAD MORE,2020,Positive
4081,0.0,0.0,Jul,5,Awesome GoodREAD MORE,2020,Positive
4082,0.0,0.0,Jul,4,Very Good GoodREAD MORE,2020,Positive
4083,0.0,0.0,Jul,5,Highly recommended Superb shuttlesREAD MORE,2020,Positive
4084,0.0,0.0,Jul,5,Delightful NiceREAD MORE,2020,Positive
4085,0.0,0.0,Jul,4,Worth every penny NiceREAD MORE,2020,Positive
4086,0.0,0.0,Jul,5,Nice product Good enough to playREAD MORE,2020,Positive
4087,0.0,0.0,Jul,5,Simply awesome OkREAD MORE,2020,Positive
4088,0.0,0.0,Jul,5,Brilliant Nice productsREAD MORE,2020,Positive
4089,0.0,0.0,Jul,5,Just wow! NYC oneREAD MORE,2020,Positive
4090,0.0,0.0,Jul,4,Worth every penny GoodREAD MORE,2020,Positive
4091,0.0,0.0,Jul,5,Just okay Yonex 350 we r using this since 6 7 yrs. It is of good quality.. Better price than open market shops..better to select slow if you are playing outdoor shuttle..READ MORE,2020,Positive
4092,0.0,0.0,Jul,4,Brilliant NiceREAD MORE,2020,Positive
4093,0.0,0.0,Jul,5,Fair Super Cheap rateREAD MORE,2020,Positive
4094,0.0,0.0,Jul,4,Worth every penny Know for its durability..no need to mention it go for itREAD MORE,2020,Positive
4095,0.0,0.0,Jul,5,Worth the money Happy because I got it for reasonable price. Hope I will get the same product again with the same priceREAD MORE,2020,Positive
4096,0.0,0.0,Jul,4,Perfect product! NiceREAD MORE,2020,Positive
4097,0.0,0.0,Jul,5,"Excellent Very good, timely delivered, thanks to  flipkartREAD MORE",2020,Positive
4098,0.0,0.0,Jul,5,Wonderful AwesomeREAD MORE,2020,Positive
4099,0.0,0.0,Jul,5,Must buy! SuperREAD MORE,2020,Positive
4100,0.0,0.0,Jul,5,Terrific purchase goodREAD MORE,2020,Positive
4101,0.0,0.0,Jul,3,Worth the money goidREAD MORE,2020,Neutral
4102,0.0,0.0,Jul,5,Terrific purchase Genuine product. Thank you FlipkartREAD MORE,2020,Positive
4103,0.0,0.0,Jul,3,Worth every penny NiceREAD MORE,2020,Neutral
4104,0.0,0.0,Jul,5,Great product NycREAD MORE,2020,Positive
4105,0.0,0.0,Jul,4,Terrific Best quality but high price.READ MORE,2020,Positive
4106,0.0,0.0,Jul,5,Highly recommended GoodREAD MORE,2020,Positive
4107,0.0,0.0,Jul,5,Good GoodREAD MORE,2020,Positive
4108,0.0,0.0,Jul,4,Good choice SuperREAD MORE,2020,Positive
4109,0.0,0.0,Jul,5,"good , but see which speed you are buying Best shuttle toREAD MORE",2020,Positive
4110,0.0,0.0,Jul,5,Worth every penny Good productREAD MORE,2020,Positive
4111,0.0,0.0,Jul,4,Nice product Maximum 10 daysREAD MORE,2020,Positive
4112,0.0,0.0,Jul,5,Great product NiceREAD MORE,2020,Positive
4113,0.0,0.0,Jul,5,Fabulous! Nice product I m using it from 5 yearsREAD MORE,2020,Positive
4114,0.0,0.0,Jul,5,Awesome Best qualityREAD MORE,2020,Positive
4115,0.0,0.0,Jul,5,Highly recommended Great product which is both durable and light weight.READ MORE,2020,Positive
4116,0.0,0.0,Jul,5,Terrible product Quality shuttles and speedy delivery by flipkartREAD MORE,2020,Positive
4117,0.0,0.0,Jul,3,Does the job Delivery done super fast but it's price keeps increasing regularly. WorrisomeREAD MORE,2020,Neutral
4118,0.0,0.0,Jul,4,Great product Nice product but feather top is mostly damagedREAD MORE,2020,Positive
4119,0.0,0.0,Jul,5,"Worthless good for only beginners or time pass players ,because it flies very slow , if you want to play fast game pick faster one .  quality is really good 1 will come for 100 hours play. i bought them for 750 bit high for slow version.READ MORE",2020,Positive
4120,0.0,0.0,Jul,5,Decent product NiceREAD MORE,2020,Positive
4121,0.0,0.0,Jul,4,Good quality product NiceREAD MORE,2020,Positive
4122,0.0,0.0,Jul,5,Perfect product! VniceREAD MORE,2020,Positive
4123,0.0,0.0,Jul,5,Nice NiceREAD MORE,2020,Positive
4124,0.0,0.0,Jul,5,Does the job Super........READ MORE,2020,Positive
4125,0.0,0.0,Jul,5,Delightful Really Fantastic 👍READ MORE,2020,Positive
4126,0.0,0.0,Jul,1,Terrific every purchase rate increased and product quqlity not goodREAD MORE,2020,Negative
4127,0.0,0.0,Jul,3,Hated it! Product quality not goodREAD MORE,2020,Neutral
4128,0.0,0.0,Jul,5,Fabulous! goodREAD MORE,2020,Positive
4129,0.0,0.0,Jul,1,Nice product Waste shuttles too old and wet shuttles don't sell this type of old and useless products sorry to say this next time you sell good productsREAD MORE,2020,Negative
4130,0.0,0.0,Jul,3,Excellent Good product but very costly...READ MORE,2020,Neutral
4131,0.0,0.0,Jul,4,Value-for-money Some shuttlecocks were faster on indoor court.READ MORE,2020,Positive
4132,0.0,0.0,Jul,5,Best in the market! Its a premium shuttle.  LonglastingREAD MORE,2020,Positive
4133,0.0,0.0,Jul,3,Wonderful GoodREAD MORE,2020,Neutral
4134,0.0,0.0,Jul,3,Awesome Quality was not goodREAD MORE,2020,Neutral
4135,0.0,0.0,Jul,4,Highly recommended Good qualityREAD MORE,2020,Positive
4136,0.0,0.0,Jul,5,Must buy! GoodREAD MORE,2020,Positive
4137,0.0,0.0,Jul,1,Must buy! Product not goodREAD MORE,2020,Negative
4138,0.0,0.0,Jul,5,Mind-blowing purchase SuperREAD MORE,2020,Positive
4139,0.0,0.0,Jul,4,Just wow! GoodREAD MORE,2020,Positive
4140,0.0,0.0,Jul,5,Perfect product! Best shuttle in market.. No one near to yonex..READ MORE,2020,Positive
4141,0.0,0.0,Jul,4,Best in the market! the rate is costly compare to regular price.it is helpful if u reduce price.READ MORE,2020,Positive
4142,0.0,0.0,Jul,5,Classy product Awesome productREAD MORE,2020,Positive
4143,0.0,0.0,Jul,4,Pretty good good productREAD MORE,2020,Positive
4144,0.0,0.0,Jul,5,Nice product Once again fabulous work flipkart.Great product and great packing.Lot of appreciation for you flipkart.READ MORE,2020,Positive
